time_s,time_ms,gyro_x_deg_s,gyro_y_deg_s,gyro_z_deg_s,accel_x_g,accel_y_g,accel_z_g,GX_raw,GY_raw,GZ_raw,AX_raw,AY_raw,AZ_raw
0.063000,63.000000,0.000000,-0.100000,0.000000,0.046000,-0.596000,0.800000,0.000000,-0.100000,0.000000,0.046000,-0.596000,0.800000
0.064000,64.000000,0.100000,-0.200000,0.200000,0.046000,-0.596000,0.800000,0.100000,-0.200000,0.200000,0.046000,-0.596000,0.800000
0.065000,65.000000,0.100000,-0.100000,0.100000,0.046000,-0.596000,0.800000,0.100000,-0.100000,0.100000,0.046000,-0.596000,0.800000
0.066000,66.000000,0.100000,0.100000,0.000000,0.046000,-0.596000,0.800000,0.100000,0.100000,0.000000,0.046000,-0.596000,0.800000
0.067000,67.000000,0.000000,0.100000,-0.100000,0.046000,-0.598000,0.800000,0.000000,0.100000,-0.100000,0.046000,-0.598000,0.800000
0.068000,68.000000,-0.100000,0.100000,0.000000,0.046000,-0.600000,0.802000,-0.100000,0.100000,0.000000,0.046000,-0.600000,0.802000
0.069000,69.000000,-0.100000,0.100000,0.100000,0.044000,-0.598000,0.802000,-0.100000,0.100000,0.100000,0.044000,-0.598000,0.802000
0.070000,70.000000,-0.100000,0.000000,0.100000,0.044000,-0.596000,0.802000,-0.100000,0.000000,0.100000,0.044000,-0.596000,0.802000
0.071000,71.000000,0.100000,-0.100000,0.100000,0.046000,-0.594000,0.800000,0.100000,-0.100000,0.100000,0.046000,-0.594000,0.800000
0.072000,72.000000,0.100000,-0.100000,0.100000,0.046000,-0.596000,0.802000,0.100000,-0.100000,0.100000,0.046000,-0.596000,0.802000
0.073000,73.000000,0.000000,0.000000,0.000000,0.044000,-0.596000,0.802000,0.000000,0.000000,0.000000,0.044000,-0.596000,0.802000
0.074000,74.000000,0.000000,0.000000,-0.100000,0.044000,-0.596000,0.802000,0.000000,0.000000,-0.100000,0.044000,-0.596000,0.802000
0.075000,75.000000,-0.100000,0.000000,-0.100000,0.044000,-0.596000,0.802000,-0.100000,0.000000,-0.100000,0.044000,-0.596000,0.802000
0.076000,76.000000,-0.100000,0.000000,-0.100000,0.044000,-0.596000,0.802000,-0.100000,0.000000,-0.100000,0.044000,-0.596000,0.802000
0.077000,77.000000,-0.100000,0.100000,0.000000,0.046000,-0.596000,0.800000,-0.100000,0.100000,0.000000,0.046000,-0.596000,0.800000
0.078000,78.000000,0.000000,0.100000,0.100000,0.048000,-0.596000,0.800000,0.000000,0.100000,0.100000,0.048000,-0.596000,0.800000
0.079000,79.000000,-0.100000,0.000000,0.100000,0.048000,-0.596000,0.800000,-0.100000,0.000000,0.100000,0.048000,-0.596000,0.800000
0.080000,80.000000,-0.100000,0.000000,0.000000,0.048000,-0.596000,0.802000,-0.100000,0.000000,0.000000,0.048000,-0.596000,0.802000
0.081000,81.000000,0.000000,-0.100000,0.000000,0.046000,-0.598000,0.802000,0.000000,-0.100000,0.000000,0.046000,-0.598000,0.802000
0.082000,82.000000,0.100000,0.000000,0.000000,0.046000,-0.598000,0.802000,0.100000,0.000000,0.000000,0.046000,-0.598000,0.802000
0.083000,83.000000,0.100000,-0.100000,-0.100000,0.046000,-0.598000,0.802000,0.100000,-0.100000,-0.100000,0.046000,-0.598000,0.802000
0.084000,84.000000,0.000000,-0.100000,-0.100000,0.046000,-0.596000,0.802000,0.000000,-0.100000,-0.100000,0.046000,-0.596000,0.802000
0.085000,85.000000,0.000000,-0.100000,-0.100000,0.046000,-0.596000,0.800000,0.000000,-0.100000,-0.100000,0.046000,-0.596000,0.800000
0.086000,86.000000,0.000000,-0.100000,0.100000,0.046000,-0.596000,0.802000,0.000000,-0.100000,0.100000,0.046000,-0.596000,0.802000
0.087000,87.000000,0.100000,0.000000,0.000000,0.046000,-0.596000,0.802000,0.100000,0.000000,0.000000,0.046000,-0.596000,0.802000
0.088000,88.000000,0.200000,0.100000,-0.100000,0.046000,-0.598000,0.802000,0.200000,0.100000,-0.100000,0.046000,-0.598000,0.802000
0.089000,89.000000,0.000000,0.100000,-0.100000,0.046000,-0.598000,0.800000,0.000000,0.100000,-0.100000,0.046000,-0.598000,0.800000
0.090000,90.000000,-0.100000,0.000000,0.000000,0.044000,-0.596000,0.800000,-0.100000,0.000000,0.000000,0.044000,-0.596000,0.800000
0.091000,91.000000,-0.100000,0.000000,0.000000,0.046000,-0.596000,0.800000,-0.100000,0.000000,0.000000,0.046000,-0.596000,0.800000
0.092000,92.000000,-0.100000,0.000000,0.000000,0.046000,-0.594000,0.798000,-0.100000,0.000000,0.000000,0.046000,-0.594000,0.798000
0.093000,93.000000,0.000000,0.000000,0.000000,0.046000,-0.594000,0.798000,0.000000,0.000000,0.000000,0.046000,-0.594000,0.798000
0.094000,94.000000,-0.100000,-0.100000,0.100000,0.046000,-0.594000,0.798000,-0.100000,-0.100000,0.100000,0.046000,-0.594000,0.798000
0.095000,95.000000,0.000000,0.000000,0.100000,0.046000,-0.594000,0.798000,0.000000,0.000000,0.100000,0.046000,-0.594000,0.798000
0.096000,96.000000,0.100000,0.100000,0.000000,0.046000,-0.594000,0.800000,0.100000,0.100000,0.000000,0.046000,-0.594000,0.800000
0.097000,97.000000,0.200000,0.100000,-0.100000,0.046000,-0.596000,0.800000,0.200000,0.100000,-0.100000,0.046000,-0.596000,0.800000
0.098000,98.000000,0.100000,0.000000,-0.100000,0.046000,-0.598000,0.800000,0.100000,0.000000,-0.100000,0.046000,-0.598000,0.800000
0.099000,99.000000,-0.100000,-0.100000,0.000000,0.046000,-0.598000,0.800000,-0.100000,-0.100000,0.000000,0.046000,-0.598000,0.800000
