X_GYRO_LWR,Y_GYRO_LWR,Z_GYRO_LWR,X_ACCL_LWR,Y_ACCL_LWR,Z_ACCL_LWR,DATA_CNTR,TIME_STAMP_LWR,USB_TIMESTAMP_MS
43343,-28713,30320,4019471,-49326125,-17072742,11417,5243,88.9905
-52604,-125862,-96708,3961095,-49292302,-17203285,11418,5263,88.9905
11709,-61682,30534,3809951,-49172399,-17088523,11419,5284,88.9905
12232,-62560,94369,3901034,-49343554,-16926575,11420,5304,88.9905
43464,68951,94149,3921967,-49436726,-17189061,11421,5324,88.9905
106751,-60703,-2020,4043285,-49435075,-17155034,11422,5345,88.9905
106363,-92672,-65853,3802024,-49361903,-17149390,11423,5365,88.9905
11568,36599,62445,3855972,-49598331,-17303832,11424,5386,88.9905
138633,102339,93510,4047989,-49672061,-17295303,11425,5406,88.9905
104648,73323,-193534,3932795,-49534012,-17424718,11426,5426,106.0042
74454,5310,-33729,3899904,-49663679,-17321070,11427,5447,106.0042
75118,-93672,-1805,3928075,-49578443,-17155823,11428,5467,106.0042
-83602,3389,63083,3850510,-49766517,-17130053,11429,5488,106.0042
106885,-93551,-2018,3908294,-49482033,-17166999,11430,5508,106.0042
11058,-93034,-65217,3978356,-49549740,-17372793,11431,5528,106.0042
-84259,37115,-753,4104870,-49594857,-17177671,11432,5549,106.0042
-51821,-127002,-955,3937900,-49401595,-17215396,11433,5569,106.0042
169753,70929,-2452,3965276,-49456851,-17230526,11434,5590,106.0042
104896,203397,-97789,3975919,-49397999,-17513685,11435,5610,106.0042
11186,-60626,-33301,4090417,-49330395,-17402246,11436,5630,106.0042
-84132,69524,31162,4055419,-49305887,-17331626,11437,5651,106.0042
-20568,-191259,-96916,3933534,-49387310,-17244471,11438,5671,106.0042
43731,3432,94153,3767418,-49082685,-17201780,11439,5692,106.0042
-83207,-29898,95003,3948880,-49263135,-17076678,11440,5712,106.0042
138245,70368,29677,4060923,-49333549,-17012656,11441,5732,106.0042
-114841,-62866,95217,3956516,-49267811,-17275757,11442,5753,106.0042
-178378,-63108,95641,3934394,-49300956,-17263948,11443,5773,122.9808
-82289,-64063,190758,3930276,-49423991,-17128568,11444,5794,122.9808
-19805,3192,94577,4166345,-49306574,-17330428,11445,5814,122.9808
-211077,101450,63925,3847340,-49271587,-17371486,11446,5834,122.9808
-113924,-97030,190855,3954853,-49298710,-17263321,11447,5855,122.9808
-52625,70085,-1085,3993634,-49421461,-17200558,11448,5875,122.9808
106222,5433,-34059,4069482,-49435271,-17303924,11449,5896,122.9808
168974,6992,-130237,3911256,-49428968,-17298690,11450,5916,122.9808
44662,-161243,125963,3895404,-49486948,-17353554,11451,5936,122.9808
42833,-158168,-97460,4134047,-49485673,-17231875,11452,5957,122.9808
-50522,-63941,190428,3832368,-49393287,-17412990,11453,5977,122.9808
-85044,38435,-96624,4165573,-49430376,-17423702,11454,5998,122.9808
-21393,201597,-1305,3969674,-49314750,-17191109,11455,6018,122.9808
107139,-28733,61695,3924888,-49325312,-17108625,11456,6038,122.9808
-22164,72403,-160886,4005074,-49309634,-17020761,11457,6059,122.9808
264814,-124036,-130865,3992222,-49623024,-17182994,11458,6079,122.9808
75773,-127396,61913,3992273,-49447862,-17093360,11459,6100,122.9808
-178908,3028,63602,3605793,-49296663,-17216137,11460,6120,140.0077
75753,68372,157655,3856315,-49456215,-17243708,11461,6140,140.0077
74594,-92791,-65759,3870711,-49353892,-17455703,11462,6161,140.0077
-21614,-124684,-160872,3959337,-49342049,-17313921,11463,6181,140.0077
-84514,37116,-869,3787555,-49391356,-17278481,11464,6202,140.0077
-51031,-128758,126599,4102944,-49465503,-17231793,11465,6222,140.0077
-84909,70403,-32789,4090970,-49346483,-17277840,11466,6242,140.0077
